id,label,inclusiveness_score,specificity_score,concreteness_score
1_1,著作権保護と法的整備の必要性,5,4,4
1_10,生成AIと著作権に関する懸念と提案,5,4,4
1_11,AIと海賊版問題に対する懸念と規制の必要性,5,4,4
1_12,画像生成AIに対する規制と法整備の必要性,5,4,4
1_13,AI生成物と手書き作品の判別に関する不安と対策の必要性,5,4,4
1_14,AI生成物の透明性と識別に関する法的義務の必要性,5,4,4
1_15,無断使用と悪用に対するクリエイターの権利保護の必要性,5,4,4
1_2,クリエイターの権利保護と支援の必要性,5,4,4
1_3,AIと著作権に関する厳格な規制と倫理的配慮の必要性,5,4,4
1_4,著作権と生成物に関する法的課題と懸念,5,4,4
1_5,法案に対する懸念と改善要求,4,3,3
1_6,AI技術の法的規制と倫理的使用に関する懸念と提案,5,4,4
1_7,日本の創作文化と生成AIに関する規制の必要性,5,4,4
1_8,生成AIによる著作権侵害と文化への影響に対する懸念,5,4,4
1_9,生成AIとクリエイターの対立と不安,5,4,4
